created_at,text,keyword
2023-04-23 06:05:23+00:00,"@iliketeslas @elonmusk Ya best selling because of sacrificing shareholder value and sacrifice eps growth.

I love all the tesla charity investors 👏🏻",love AND tesla
2023-04-23 06:03:04+00:00,"@Factschaser I love it when people call their car a (insert car) killer. All they’re doing is acknowledging the dominance of the car they claim is going to be killed. That Lexus is, like most Lexus cars, utterly hideous. Makes a Tesla look good and that’s saying something. It ain’t no killer",love AND tesla
2023-04-23 06:02:43+00:00,@GT_AUS I agree with you except I don’t know enough about him to say I don’t like him. I love that he has accelerated the use of electric vehicles exponentially. What did we have before him Prius &amp; the Nissan Leaf. I know a couple of Tesla owners &amp; they love their electric vehicles a lot,love AND tesla
2023-04-23 05:42:53+00:00,@JasonVanNoy5 @elonmusk @stats_feed @paulg @SpaceX @Tesla @boringcompany I love your this 👇culture which gives best gifts to this children daily morning 😉😁 https://t.co/Ltk3D5Jp5I,love AND tesla
2023-04-23 05:41:56+00:00,"@GailAlfarATX Beautiful 💚color ⚡️ hopefully Tesla actually start selling it I would love an emerald green and I bet many would from the greenest EV maker in the 🌎!
Austin is much 😯 wow , you make us wanna move there 🤣 $Doge fam $Tsla 🚀 https://t.co/UykJBmrrcg",love AND tesla
2023-04-23 05:39:33+00:00,@jeremyjudkins_ I agree ☝️ Tesla paint job I get one rock 🪨 paint chips so easy. I never had anything vehicle in my life that just chips easy. Ps. I love Tesla.,love AND tesla
2023-04-23 05:36:38+00:00,@GailAlfarATX @SpaceX @cnunezimages Great stuff.  I believe Elon is the smartest man alive and love watching all of his projects.  And I LOVE my Tesla.  I got tears in my eyes watching it fly as well.  I’m in Houston.  I will drive to a launch this year as well. I need to see it on person with my own sons follow me,love AND tesla
2023-04-23 05:34:29+00:00,Tesla - Love Song https://t.co/1AGUUvI2Wz via @YouTube,love AND tesla
2023-04-23 05:27:17+00:00,@jeremyjudkins_ I love cars. I love Tesla. This is a factual statement and I truly hope they improve soon.,love AND tesla
2023-04-23 05:14:57+00:00,@DBurkland @Rodneyniya @elonmusk @aelluswamy @TeslaOwnersMN @Tesla If you can recall where you saw that I’d love to see the precise wording/context. I haven’t been able to find any details on it.,love AND tesla
2023-04-23 05:11:13+00:00,@elonmusk love you and most everything you do but do you think the decision to not wait until flame diverter and deluge system may rival the Tesla automation decision in terms of reality not meeting aspirations ?,love AND tesla
2023-04-23 05:00:57+00:00,"If you love me at all or even mildly tolerate me, go vote for Amelia in this poll. #slayers https://t.co/rr4iT4vQ1S",love AND tesla
2023-04-23 04:39:55+00:00,"@jeremyjudkins_ Whether you love it or hate it, it has a different feeling to stepping into a Tesla. It's very different.",love AND tesla
2023-04-23 04:36:35+00:00,"@Teslaconomics @Tesla @elonmusk Love this company, shareholder and trust Elon",love AND tesla
2023-04-23 04:22:11+00:00,@aparanjape @elonmusk @stats_feed @paulg @Tesla Bhai....wait for 2 years ...and you'll love Indian EVs... #TATAEV #mahindraEV #olaev ...and many more,love AND tesla
2023-04-23 04:20:49+00:00,"No contest Tesla. I seen them with Def Leppard and man the first song the played was comin at you live, and let me tell ya I’ve been a huge fan every since 88! Seen them 4 times and love to play the guitar and trying to pick up their work! https://t.co/nhQbARhnyK",love AND tesla
2023-04-23 04:10:24+00:00,"@Tesla @elonmusk Its great that 1 @SpaceX lift off, offsets 5-10 years of Tesla ""green"" innovation. Or maybe 1 day of lithium mining. 🤔 I love this business model. Its not hypocrisy its confusion.",love AND tesla
2023-04-23 04:01:50+00:00,@elonmusk @elonmusk love to see SpaceX and Tesla affiliations on your profile.,love AND tesla
2023-04-23 04:01:37+00:00,@EvasTeslaSPlaid @WOLF_Financial @Tesla Love this.,love AND tesla
2023-04-23 04:00:55+00:00,"We Love Unusual &amp; Fun Things!
Check out this Nikola Tesla 360Code Manifestation Tool
for only $28.70 💙
Order NOW!👇 https://t.co/JkEj41gLRW https://t.co/4OmmQBEZYa",love AND tesla
2023-04-23 03:56:51+00:00,@elonmusk @farzyness Whenever the next one that’s faster than the plaid comes out… Tesla stock will soar… people love horsepower… remember that! … sooo when roadster @elonmusk,love AND tesla
2023-04-23 03:55:01+00:00,"@elonmusk can you send One tesla to me pls, write me in pvt i love you",love AND tesla
